Tri   ,Année   ,Périmètre juridique ,Legal perimeter ,Périmètre spatial             ,country                  ,Filière        ,Sector                   ,Type d'énergie ,Type of energy ,Production            ,Unité ,Méthode de consolidation ,Consolidation method ,city             ,lat      ,lng     ,population ,alpha-2 ,alpha-3 ,country-code ,iso_3166-2    ,region   ,sub-region                      ,intermediate-region ,region-code ,sub-region-code ,intermediate-region-code
109.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,   388.512325         ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
227.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  5340.574716         ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
238.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   300.8043342        ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
246.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   879.915            ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
260.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,   378.699            ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
327.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  6475.17955          ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
337.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   144.73477986       ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
345.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   829.594            ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
360.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,   415.5              ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
 14.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  2092.9918           ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
