Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
220.0,20200.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Charbon,Coal,Électrique,Electric,8697.09456,GWh,Nette,Net,,,,
248.0,20200.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Éolienne,Wind,Électrique,Electric,392.015,GWh,Nette,Net,,,,
262.0,20200.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Solaire,Solar,Électrique,Electric,98.859,GWh,Nette,Net,,,,
316.0,20190.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Nucléaire,Nuclear,Électrique,Electric,4851.0,GWh,Nette,Net,,,,
320.0,20190.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Charbon,Coal,Électrique,Electric,9462.06646,GWh,Nette,Net,,,,
347.0,20190.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Éolienne,Wind,Électrique,Electric,244.039,GWh,Nette,Net,,,,
362.0,20190.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Solaire,Solar,Électrique,Electric,93.16,GWh,Nette,Net,,,,
21.0,20220.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Électrique,Electric,24.9500250975,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
22.0,20220.0,Groupe EDF,EDF group,Espagne,Spain,Solaire,Solar,Électrique,Electric,3.3460093658571,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
23.0,20220.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Chaleur,Heat,176.06881563192,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
117.0,20210.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Électrique,Electric,38.3074229948852,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
118.0,20210.0,Groupe EDF,EDF group,Espagne,Spain,Solaire,Solar,Électrique,Electric,1.66692764197755,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
119.0,20210.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Chaleur,Heat,175.447433705546,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
228.0,20200.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Électrique,Electric,31.5000013495,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
263.0,20200.0,Groupe EDF,EDF group,Espagne,Spain,Solaire,Solar,Électrique,Electric,0.625433719653,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
