Tri ;Année ;Périmètre juridique ;Legal perimeter ;Périmètre spatial             ;country                    ;Filière        ;Sector                   ;Type d'énergie ;Type of energy ;Production            ;Unité ;Méthode de consolidation ;Consolidation method
 62 ; 2022 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ; 34880.0              ;GWh   ;Nette                    ;Net
 63 ; 2022 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Charbon        ;Coal                     ;Électrique     ;Electric       ;    50.576            ;GWh   ;Nette                    ;Net
 64 ; 2022 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   957.032754730999   ;GWh   ;Nette                    ;Net
 65 ; 2022 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     4.13888051999999 ;GWh   ;Nette                    ;Net
 66 ; 2022 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Éolienne       ;Wind                     ;Électrique     ;Electric       ; 12475.92442          ;GWh   ;Nette                    ;Net
 67 ; 2022 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Solaire        ;Solar                    ;Électrique     ;Electric       ;  2079.972            ;GWh   ;Nette                    ;Net
 68 ; 2022 ;Groupe EDF          ;EDF group       ;Viêt Nam                      ;Vietnam                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2536.79625          ;GWh   ;Nette                    ;Net
 69 ; 2022 ;Groupe EDF          ;EDF group       ;Viêt Nam                      ;Vietnam                    ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    34.0636945        ;GWh   ;Nette                    ;Net
 70 ; 2022 ;Groupe EDF          ;EDF group       ;Pays-Bas                      ;Netherlands                ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1488.1              ;GWh   ;Nette                    ;Net
 71 ; 2022 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;    85.1              ;GWh   ;Nette                    ;Net
 72 ; 2022 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;   799.995            ;GWh   ;Nette                    ;Net
 73 ; 2022 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   162.68215          ;GWh   ;Nette                    ;Net
 74 ; 2022 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   256.96975          ;GWh   ;Nette                    ;Net
 75 ; 2022 ;Groupe EDF          ;EDF group       ;Laos                          ;Laos                       ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  1824.0              ;GWh   ;Nette                    ;Net
 76 ; 2022 ;Groupe EDF          ;EDF group       ;Maroc                         ;Morocco                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;    87.6135536931     ;GWh   ;Nette                    ;Net
 77 ; 2022 ;Groupe EDF          ;EDF group       ;Maroc                         ;Morocco                    ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;     5.55973282972181 ;GWh   ;Nette                    ;Net
 78 ; 2022 ;Groupe EDF          ;EDF group       ;Émirats arabes unis           ;United Arab Emirates       ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   406.3106144        ;GWh   ;Nette                    ;Net
 79 ; 2022 ;Groupe EDF          ;EDF group       ;Égypte                        ;Egypt                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   159.977130106      ;GWh   ;Nette                    ;Net
 80 ; 2022 ;Groupe EDF          ;EDF group       ;Autres pays                   ;Various countries          ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   529.265046         ;GWh   ;Nette                    ;Net
 81 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;327956.285            ;GWh   ;Intégration Globale      ;Full integration
 82 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  1700.71             ;GWh   ;Intégration Globale      ;Full integration
 83 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  5259.19018204645    ;GWh   ;Intégration Globale      ;Full integration
 84 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 36460.0095436532     ;GWh   ;Intégration Globale      ;Full integration
 85 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 35005.7087338866     ;GWh   ;Intégration Globale      ;Full integration
 86 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ; 21223.5772677655     ;GWh   ;Intégration Globale      ;Full integration
 87 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;  2517.74490375988    ;GWh   ;Intégration Globale      ;Full integration
 88 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     3.935            ;GWh   ;Intégration Globale      ;Full integration
 89 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   923.887351         ;GWh   ;Intégration Globale      ;Full integration
 90 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   548.784            ;GWh   ;Intégration Globale      ;Full integration
 91 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Électrique     ;Electric       ;   121.33541          ;GWh   ;Intégration Globale      ;Full integration
 92 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   793.1748           ;GWh   ;Intégration Globale      ;Full integration
 93 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   231.349868166667   ;GWh   ;Intégration Globale      ;Full integration
 94 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ; 16027.5129972752     ;GWh   ;Intégration Globale      ;Full integration
 95 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Chaleur        ;Heat           ;   120.79042264       ;GWh   ;Intégration Globale      ;Full integration
 96 ; 2022 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;  8801.97875962828    ;GWh   ;Intégration Globale      ;Full integration
 97 ; 2021 ;Groupe EDF          ;EDF group       ;Afrique du Sud                ;South Africa               ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   180.968205599999   ;GWh   ;Nette                    ;Net
 98 ; 2021 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   219.07617          ;GWh   ;Nette                    ;Net
 99 ; 2021 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   396.932            ;GWh   ;Nette                    ;Net
100 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   193.371888         ;GWh   ;Nette                    ;Net
101 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1742.851987         ;GWh   ;Nette                    ;Net
102 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   733.0635422        ;GWh   ;Nette                    ;Net
103 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     1.557901         ;GWh   ;Nette                    ;Net
104 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;    52.838237         ;GWh   ;Nette                    ;Net
105 ; 2021 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  6352.035127         ;GWh   ;Nette                    ;Net
106 ; 2021 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  7134.569485         ;GWh   ;Nette                    ;Net
107 ; 2021 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   711.3072           ;GWh   ;Nette                    ;Net
108 ; 2021 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  1705.101015         ;GWh   ;Nette                    ;Net
109 ; 2021 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   388.512325         ;GWh   ;Nette                    ;Net
110 ; 2021 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  2037.8922           ;GWh   ;Nette                    ;Net
111 ; 2021 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    47.879            ;GWh   ;Nette                    ;Net
112 ; 2021 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  5546.1              ;GWh   ;Nette                    ;Net
113 ; 2021 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  9303.182            ;GWh   ;Nette                    ;Net
114 ; 2021 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   727.422721599999   ;GWh   ;Nette                    ;Net
115 ; 2021 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   107.96545          ;GWh   ;Nette                    ;Net
116 ; 2021 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   103.35             ;GWh   ;Nette                    ;Net
117 ; 2021 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;    38.3074229948852  ;GWh   ;Nette                    ;Net
118 ; 2021 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     1.66692764197755 ;GWh   ;Nette                    ;Net
119 ; 2021 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;   175.447433705546   ;GWh   ;Nette                    ;Net
120 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;354394.205            ;GWh   ;Nette                    ;Net
121 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  3097.606            ;GWh   ;Nette                    ;Net
122 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  5218.7929           ;GWh   ;Nette                    ;Net
123 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  9800.98476508       ;GWh   ;Nette                    ;Net
124 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 43330.7899136        ;GWh   ;Nette                    ;Net
125 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  3396.2569246        ;GWh   ;Nette                    ;Net
126 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   349.848924399999   ;GWh   ;Nette                    ;Net
127 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     3.7459264        ;GWh   ;Nette                    ;Net
128 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   767.7651405        ;GWh   ;Nette                    ;Net
